date, precipitation
11/20/2017,0.0601696
11/21/2017,0.037525944
11/22/2017,0.20993872
11/23/2017,0.768337011
11/24/2017,0.905386448
11/25/2017,1.15577245
11/26/2017,3.09396744
11/27/2017,2.15529084
11/28/2017,1.82247984
11/29/2017,1.15954351
11/30/2017,3.71340466
12/1/2017,19.5378189
12/2/2017,7.18981934
12/3/2017,0.412340283
12/4/2017,5.71561146
12/5/2017,3.51213717
12/6/2017,1.11997128
12/7/2017,1.43616402
12/8/2017,0.868884087
12/9/2017,0.196341112
12/10/2017,0
12/11/2017,0.00689046
12/12/2017,0
12/13/2017,0.212892219
12/14/2017,2.58461261
12/15/2017,1.64513028
12/16/2017,1.03738153
12/17/2017,2.16490793
12/18/2017,1.30678689
12/19/2017,2.87535238
12/20/2017,3.54652023
12/21/2017,3.24332142
12/22/2017,0.201949134
12/23/2017,0.17293793
12/24/2017,2.2582655
12/25/2017,2.27659225
12/26/2017,1.68172228
12/27/2017,0.120785624
12/28/2017,1.42967188
12/29/2017,9.28270054
12/30/2017,0.54651767
12/31/2017,1.72312224
1/1/2018,0.284013927
1/2/2018,3.18308449
1/3/2018,0.097044326
1/4/2018,0
1/5/2018,0.008396784
1/6/2018,0.008475749
1/7/2018,2.02452111
1/8/2018,5.34363794
1/9/2018,4.52586555
1/10/2018,0.755328417
1/11/2018,1.80638361
1/12/2018,3.37713552
1/13/2018,2.62240291
1/14/2018,0.358112305
1/15/2018,0.181962684
1/16/2018,0.037969615
1/17/2018,0
1/18/2018,0.00059773
1/19/2018,0.008837696
1/20/2018,0.089247063
1/21/2018,0.24877809
1/22/2018,0.666517496
1/23/2018,1.09866142
1/24/2018,1.37877166
1/25/2018,2.60512686
1/26/2018,2.24439096
1/27/2018,1.32048213
1/28/2018,0.565074265
1/29/2018,0.913508713
1/30/2018,2.09252405
1/31/2018,1.00870347
2/1/2018,3.72963071
2/2/2018,2.44356394
2/3/2018,0.722294033
2/4/2018,0.01982297
2/5/2018,0.007273912
2/6/2018,0.050093081
2/7/2018,0.00398425
2/8/2018,0.11196433
2/9/2018,1.28130674
2/10/2018,2.33758807
2/11/2018,0.55294317
2/12/2018,1.31166935
2/13/2018,0.304906398
2/14/2018,0.156966031
2/15/2018,0.36563924
2/16/2018,0.21497032
2/17/2018,0.027636467
2/18/2018,0.551009297
2/19/2018,5.62056971
2/20/2018,1.23214757
2/21/2018,0.833779812
2/22/2018,1.00010383
2/23/2018,1.26418173
2/24/2018,6.08121634
2/25/2018,11.2843084
2/26/2018,1.11333907
2/27/2018,0.00978855
2/28/2018,0.035809878
3/1/2018,0.109086961
3/2/2018,0.285127729
3/3/2018,2.0666101
3/4/2018,5.76635885
3/5/2018,5.85083675
3/6/2018,1.9535346
3/7/2018,0.184843063
3/8/2018,0.312090278
3/9/2018,0.226944849
3/10/2018,0.010096844
3/11/2018,0.002913886
3/12/2018,0.235741943
3/13/2018,0.063060977
3/14/2018,0.03076537
3/15/2018,0.058714453
3/16/2018,0.634893835
3/17/2018,0.369633853
3/18/2018,0.006312482
3/19/2018,0.015968461
3/20/2018,1.54078209
3/21/2018,4.96280861
3/22/2018,4.16546631
3/23/2018,1.46913254
3/24/2018,3.70259643
3/25/2018,6.14656353
3/26/2018,0.423515737
3/27/2018,0.065067351
3/28/2018,0.007434612
3/29/2018,0.005253071
3/30/2018,0.006123287
3/31/2018,0.002021282
4/1/2018,0.11500825
4/2/2018,0.506164491
4/3/2018,0.177126482
4/4/2018,0.342643768
4/5/2018,0.025909714
4/6/2018,0.03433457
4/7/2018,0
4/8/2018,0.00872217
4/9/2018,0.121328928
4/10/2018,0.191505149
4/11/2018,0.089338794
4/12/2018,0.011385825
4/13/2018,4.44428349
4/14/2018,2.57901192
4/15/2018,0.034704071
4/16/2018,0.040075265
4/17/2018,0.155815125
4/18/2018,0.056153145
4/19/2018,2.63441205
4/20/2018,0.447945148
4/21/2018,0.246646047
4/22/2018,0.919379175
4/23/2018,0.867801666
4/24/2018,1.55571651
4/25/2018,0.496249884
4/26/2018,0.493264616
4/27/2018,0.418792278
4/28/2018,0.116268501
