datetime, avg_next_24h, min_next_24h, max_next_24h, hd_next_24h, cd_next_24h
2018-10-08 17:00:00,15.9412698412698413,10.20,24.10,1.0587301587301587,0
2018-10-08 17:30:00,15.9603174603174603,10.20,24.10,1.0396825396825397,0
2018-10-08 18:00:00,15.9793650793650794,10.20,24.10,1.0206349206349206,0
2018-10-08 18:30:00,16.0031746031746032,10.20,24.10,0.9968253968253968,0
2018-10-08 19:00:00,16.0333333333333333,10.20,24.10,0.9666666666666667,0
2018-10-08 19:30:00,16.0650793650793651,10.20,24.10,0.9349206349206349,0
2018-10-08 20:00:00,16.0952380952380952,10.20,24.10,0.9047619047619048,0
2018-10-08 20:30:00,16.1174603174603175,10.20,24.10,0.8825396825396825,0
2018-10-08 21:00:00,16.1412698412698413,10.20,24.10,0.8587301587301587,0
2018-10-08 21:30:00,16.2015873015873016,10.20,24.10,0.7984126984126984,0
2018-10-08 22:00:00,16.2682539682539683,10.20,24.10,0.7317460317460317,0
2018-10-08 22:30:00,16.3507936507936508,10.20,24.10,0.6492063492063492,0
2018-10-08 23:00:00,16.4365079365079365,10.20,24.10,0.5634920634920635,0
2018-10-08 23:06:00,16.4951612903225806,10.20,24.10,0.5048387096774194,0
2018-10-08 23:30:00,16.5935483870967742,10.20,24.10,0.4064516129032258,0
2018-10-08 23:39:00,16.6590163934426230,10.20,24.10,0.3409836065573770,0
2018-10-09 00:00:00,16.7508196721311475,10.20,24.10,0.2491803278688525,0
2018-10-09 00:06:00,16.8083333333333333,10.20,24.10,0.1916666666666667,0
2018-10-09 00:30:00,16.8883333333333333,10.20,24.10,0.1116666666666667,0
2018-10-09 00:39:00,16.9440677966101695,10.20,24.10,0.0559322033898305,0
2018-10-09 01:00:00,17.0237288135593220,10.20,24.10,0,0
2018-10-09 01:30:00,17.0983050847457627,10.20,24.10,0,0
2018-10-09 02:00:00,17.1813559322033898,10.20,24.10,0,0
2018-10-09 02:30:00,17.2593220338983051,10.20,24.10,0,0
2018-10-09 02:58:00,17.3500000000000000,10.20,24.10,0,0
2018-10-09 03:00:00,17.4379310344827586,10.20,24.10,0,0
2018-10-09 03:14:00,17.5350877192982456,10.20,24.10,0,0
2018-10-09 03:30:00,17.6175438596491228,10.20,24.10,0,0
2018-10-09 03:48:00,17.7178571428571429,10.20,24.10,0,0
2018-10-09 04:00:00,17.8107142857142857,10.20,24.10,0,0
2018-10-09 04:14:00,17.9363636363636364,10.20,24.10,0,0
2018-10-09 04:30:00,18.0163636363636364,10.20,24.10,0,0
2018-10-09 04:48:00,18.1611111111111111,11.20,24.10,0,0
2018-10-09 05:00:00,18.2481481481481481,11.20,24.10,0,0
2018-10-09 05:28:00,18.3773584905660377,11.20,24.10,0,0
2018-10-09 05:30:00,18.4679245283018868,11.20,24.10,0,0
2018-10-09 05:37:00,18.5980769230769231,11.20,24.10,0,0
2018-10-09 06:00:00,18.7000000000000000,11.20,24.10,0,0
2018-10-09 06:16:00,18.8450980392156863,11.20,24.10,0,0
2018-10-09 06:30:00,18.9235294117647059,11.20,24.10,0,0
2018-10-09 06:37:00,19.0380000000000000,11.20,24.10,0,0
2018-10-09 07:00:00,19.1400000000000000,12.40,24.10,0,0
2018-10-09 07:16:00,19.2387755102040816,12.40,24.10,0,0
2018-10-09 07:30:00,19.3224489795918367,15.50,24.10,0,0
2018-10-09 08:00:00,19.3448979591836735,16.30,24.10,0,0
2018-10-09 08:30:00,19.3428571428571429,16.30,24.10,0,0
2018-10-09 09:00:00,19.3142857142857143,16.30,24.10,0,0
2018-10-09 09:30:00,19.2060000000000000,16.30,24.10,0,0
2018-10-09 10:00:00,18.9750000000000000,14.70,24.10,0,0
2018-10-09 10:30:00,18.7018518518518519,14.70,24.10,0,0
2018-10-09 11:00:00,18.4285714285714286,14.10,24.10,0,0
2018-10-09 11:30:00,18.1448275862068966,14.00,24.10,0,0
2018-10-09 12:00:00,17.9896551724137931,14.00,24.10,0,0
2018-10-09 12:30:00,17.7830508474576271,14.00,24.10,0,0
2018-10-09 13:00:00,17.6288135593220339,14.00,24.10,0,0
2018-10-09 13:30:00,17.4533333333333333,14.00,24.10,0,0
2018-10-09 14:00:00,17.2606557377049180,14.00,22.70,0,0
2018-10-09 14:30:00,17.0125000000000000,14.00,22.70,0,0
2018-10-09 15:00:00,16.8318181818181818,14.00,22.60,0.1681818181818182,0
2018-10-09 15:30:00,16.6352941176470588,14.00,22.10,0.3647058823529412,0
2018-10-09 16:00:00,16.3671232876712329,13.90,22.00,0.6328767123287671,0
2018-10-09 16:30:00,16.2213333333333333,13.90,22.00,0.7786666666666667,0
2018-10-09 17:00:00,16.0805194805194805,13.90,21.00,0.9194805194805195,0
2018-10-09 17:30:00,15.9846153846153846,13.90,19.90,1.0153846153846154,0
2018-10-09 18:00:00,15.9192307692307692,13.90,19.70,1.0807692307692308,0
2018-10-09 18:30:00,15.8500000000000000,13.90,19.40,1.1500000000000000,0
2018-10-09 19:00:00,15.7935897435897436,13.90,19.20,1.2064102564102564,0
2018-10-09 19:30:00,15.7371794871794872,13.90,19.10,1.2628205128205128,0
2018-10-09 20:00:00,15.6794871794871795,13.90,19.10,1.3205128205128205,0
2018-10-09 20:30:00,15.6217948717948718,13.90,19.10,1.3782051282051282,0
2018-10-09 21:00:00,15.5782051282051282,13.90,19.10,1.4217948717948718,0
2018-10-09 21:30:00,15.5358974358974359,13.90,19.10,1.4641025641025641,0
2018-10-09 22:00:00,15.4807692307692308,13.90,19.10,1.5192307692307692,0
2018-10-09 22:30:00,15.4282051282051282,13.90,19.10,1.5717948717948718,0
2018-10-09 23:00:00,15.3602564102564103,13.80,19.00,1.6397435897435897,0
2018-10-09 23:30:00,15.3025641025641026,13.80,18.90,1.6974358974358974,0
2018-10-10 00:00:00,15.2423076923076923,13.80,18.40,1.7576923076923077,0
2018-10-10 00:30:00,15.1645569620253165,13.70,17.70,1.8354430379746835,0
2018-10-10 01:00:00,15.1215189873417722,13.70,17.70,1.8784810126582278,0
2018-10-10 01:30:00,15.0797468354430380,13.70,17.70,1.9202531645569620,0
2018-10-10 02:00:00,15.0367088607594937,13.70,17.70,1.9632911392405063,0
